REGION,TECHNOLOGY,YEAR,VALUE
RE1,NE_MINCOA,2038,0.0
RE1,NE_MINCOA,2039,0.0
RE1,NE_MINCOA,2040,0.0
RE1,NE_MINCOA,2041,0.0
RE1,NE_MINCOA,2042,0.0
RE1,NE_MINCOA,2043,0.0
RE1,NE_MINCOA,2044,0.0
RE1,NE_MINCOA,2045,0.0
RE1,NE_MINCOA,2046,0.0
RE1,NE_MINCOA,2047,0.0
RE1,NE_MINCOA,2048,0.0
RE1,NE_MINCOA,2049,0.0
RE1,NE_MINCOA,2050,0.0
RE1,NE_MINCOA,2051,0.0
RE1,NE_MINCOA,2052,0.0
RE1,NE_MINCOA,2053,0.0
RE1,NE_MINCOA,2054,0.0
RE1,NE_MINNGS,2022,0.0
RE1,NE_MINNGS,2023,0.0
RE1,NE_MINNGS,2024,0.0
RE1,NE_MINNGS,2025,0.0
RE1,NE_MINNGS,2026,0.0
RE1,NE_MINNGS,2027,0.0
RE1,NE_MINNGS,2028,0.0
RE1,NE_MINNGS,2029,0.0
RE1,NE_MINNGS,2030,0.0
RE1,NE_MINNGS,2031,0.0
RE1,NE_MINNGS,2032,0.0
RE1,NE_MINNGS,2033,0.0
RE1,NE_MINNGS,2034,0.0
RE1,NE_MINNGS,2035,0.0
RE1,NE_MINNGS,2036,0.0
RE1,NE_MINNGS,2037,0.0
RE1,NE_MINNGS,2038,0.0
RE1,NE_MINNGS,2039,0.0
RE1,NE_MINNGS,2040,0.0
RE1,NE_MINNGS,2041,0.0
RE1,NE_MINNGS,2042,0.0
RE1,NE_MINNGS,2043,0.0
RE1,NE_MINNGS,2044,0.0
RE1,NE_MINNGS,2045,0.0
RE1,NE_MINNGS,2046,0.0
RE1,NE_MINNGS,2047,0.0
RE1,NE_MINNGS,2048,0.0
RE1,NE_MINNGS,2049,0.0
RE1,NE_MINNGS,2050,0.0
RE1,NE_MINNGS,2051,0.0
RE1,NE_MINNGS,2052,0.0
RE1,NE_MINNGS,2053,0.0
RE1,NE_MINNGS,2054,0.0
RE1,OR_MINCOA,2022,0.0
RE1,OR_MINCOA,2023,0.0
RE1,OR_MINCOA,2024,0.0
RE1,OR_MINCOA,2025,0.0
RE1,OR_MINCOA,2026,0.0
RE1,OR_MINCOA,2027,0.0
RE1,OR_MINCOA,2028,0.0
RE1,OR_MINCOA,2029,0.0
RE1,OR_MINCOA,2030,0.0
RE1,OR_MINCOA,2031,0.0
RE1,OR_MINCOA,2032,0.0
RE1,OR_MINCOA,2033,0.0
RE1,OR_MINCOA,2034,0.0
RE1,OR_MINCOA,2035,0.0
RE1,OR_MINCOA,2036,0.0
RE1,OR_MINCOA,2037,0.0
RE1,OR_MINCOA,2038,0.0
RE1,OR_MINCOA,2039,0.0
RE1,OR_MINCOA,2040,0.0
RE1,OR_MINCOA,2041,0.0
RE1,OR_MINCOA,2042,0.0
RE1,OR_MINCOA,2043,0.0
RE1,OR_MINCOA,2044,0.0
RE1,OR_MINCOA,2045,0.0
RE1,OR_MINCOA,2046,0.0
RE1,OR_MINCOA,2047,0.0
RE1,OR_MINCOA,2048,0.0
RE1,OR_MINCOA,2049,0.0
RE1,OR_MINCOA,2050,0.0
RE1,OR_MINCOA,2051,0.0
RE1,OR_MINCOA,2052,0.0
RE1,OR_MINCOA,2053,0.0
RE1,OR_MINCOA,2054,0.0
RE1,OR_MINNGS,2022,0.0
RE1,OR_MINNGS,2023,0.0
RE1,OR_MINNGS,2024,0.0
RE1,OR_MINNGS,2025,0.0
RE1,OR_MINNGS,2026,0.0
RE1,OR_MINNGS,2027,0.0
RE1,OR_MINNGS,2028,0.0
RE1,OR_MINNGS,2029,0.0
RE1,OR_MINNGS,2030,0.0
RE1,OR_MINNGS,2031,0.0
RE1,OR_MINNGS,2032,0.0
RE1,OR_MINNGS,2033,0.0
RE1,OR_MINNGS,2034,0.0
RE1,OR_MINNGS,2035,0.0
RE1,OR_MINNGS,2036,0.0
RE1,OR_MINNGS,2037,0.0
RE1,OR_MINNGS,2038,0.0
RE1,OR_MINNGS,2039,0.0
RE1,OR_MINNGS,2040,0.0
RE1,OR_MINNGS,2041,0.0
RE1,OR_MINNGS,2042,0.0
RE1,OR_MINNGS,2043,0.0
RE1,OR_MINNGS,2044,0.0
RE1,OR_MINNGS,2045,0.0
RE1,OR_MINNGS,2046,0.0
RE1,OR_MINNGS,2047,0.0
RE1,OR_MINNGS,2048,0.0
RE1,OR_MINNGS,2049,0.0
RE1,OR_MINNGS,2050,0.0
RE1,OR_MINNGS,2051,0.0
RE1,OR_MINNGS,2052,0.0
RE1,OR_MINNGS,2053,0.0
RE1,OR_MINNGS,2054,0.0
RE1,SE_MINNGS,2022,0.0
RE1,SE_MINNGS,2023,0.0
RE1,SE_MINNGS,2024,0.0
RE1,SE_MINNGS,2025,0.0
RE1,SE_MINNGS,2026,0.0
RE1,SE_MINNGS,2027,0.0
RE1,SE_MINNGS,2028,0.0
RE1,SE_MINNGS,2029,0.0
RE1,SE_MINNGS,2030,0.0
RE1,SE_MINNGS,2031,0.0
RE1,SE_MINNGS,2032,0.0
RE1,SE_MINNGS,2033,0.0
RE1,SE_MINNGS,2034,0.0
RE1,SE_MINNGS,2035,0.0
RE1,SE_MINNGS,2036,0.0
RE1,SE_MINNGS,2037,0.0
RE1,SE_MINNGS,2038,0.0
RE1,SE_MINNGS,2039,0.0
RE1,SE_MINNGS,2040,0.0
RE1,SE_MINNGS,2041,0.0
RE1,SE_MINNGS,2042,0.0
RE1,SE_MINNGS,2043,0.0
RE1,SE_MINNGS,2044,0.0
RE1,SE_MINNGS,2045,0.0
RE1,SE_MINNGS,2046,0.0
RE1,SE_MINNGS,2047,0.0
RE1,SE_MINNGS,2048,0.0
RE1,SE_MINNGS,2049,0.0
RE1,SE_MINNGS,2050,0.0
RE1,SE_MINNGS,2051,0.0
RE1,SE_MINNGS,2052,0.0
RE1,SE_MINNGS,2053,0.0
RE1,SE_MINNGS,2054,0.0
RE1,SO_MINCOA,2022,0.0
RE1,SO_MINCOA,2023,0.0
RE1,SO_MINCOA,2024,0.0
RE1,SO_MINCOA,2025,0.0
RE1,SO_MINCOA,2026,0.0
RE1,SO_MINCOA,2027,0.0
RE1,SO_MINCOA,2028,0.0
RE1,SO_MINCOA,2029,0.0
RE1,SO_MINCOA,2030,0.0
RE1,SO_MINCOA,2031,0.0
RE1,SO_MINCOA,2032,0.0
RE1,SO_MINCOA,2033,0.0
RE1,SO_MINCOA,2034,0.0
RE1,SO_MINCOA,2035,0.0
RE1,SO_MINCOA,2036,0.0
RE1,SO_MINCOA,2037,0.0
RE1,SO_MINCOA,2038,0.0
RE1,SO_MINCOA,2039,0.0
RE1,SO_MINCOA,2040,0.0
RE1,SO_MINCOA,2041,0.0
RE1,SO_MINCOA,2042,0.0
RE1,SO_MINCOA,2043,0.0
RE1,SO_MINCOA,2044,0.0
RE1,SO_MINCOA,2045,0.0
RE1,SO_MINCOA,2046,0.0
RE1,SO_MINCOA,2047,0.0
RE1,SO_MINCOA,2048,0.0
RE1,SO_MINCOA,2049,0.0
RE1,SO_MINCOA,2050,0.0
RE1,SO_MINCOA,2051,0.0
RE1,SO_MINCOA,2052,0.0
RE1,SO_MINCOA,2053,0.0
RE1,SO_MINCOA,2054,0.0
RE1,SO_MINNGS,2022,0.0
RE1,SO_MINNGS,2023,0.0
RE1,SO_MINNGS,2024,0.0
RE1,SO_MINNGS,2025,0.0
RE1,SO_MINNGS,2026,0.0
RE1,SO_MINNGS,2027,0.0
RE1,SO_MINNGS,2028,0.0
RE1,SO_MINNGS,2029,0.0
RE1,SO_MINNGS,2030,0.0
RE1,SO_MINNGS,2031,0.0
RE1,SO_MINNGS,2032,0.0
RE1,SO_MINNGS,2033,0.0
RE1,SO_MINNGS,2034,0.0
RE1,SO_MINNGS,2035,0.0
RE1,SO_MINNGS,2036,0.0
RE1,SO_MINNGS,2037,0.0
RE1,SO_MINNGS,2038,0.0
RE1,SO_MINNGS,2039,0.0
RE1,SO_MINNGS,2040,0.0
RE1,SO_MINNGS,2041,0.0
RE1,SO_MINNGS,2042,0.0
RE1,SO_MINNGS,2043,0.0
RE1,SO_MINNGS,2044,0.0
RE1,SO_MINNGS,2045,0.0
RE1,SO_MINNGS,2046,0.0
RE1,SO_MINNGS,2047,0.0
RE1,SO_MINNGS,2048,0.0
RE1,SO_MINNGS,2049,0.0
RE1,SO_MINNGS,2050,0.0
RE1,SO_MINNGS,2051,0.0
RE1,SO_MINNGS,2052,0.0
RE1,SO_MINNGS,2053,0.0
RE1,SO_MINNGS,2054,0.0
RE1,SO_UPSREG,2022,0.0
RE1,SO_UPSREG,2023,0.0
RE1,SO_UPSREG,2024,0.0
RE1,SO_UPSREG,2025,0.0
RE1,SO_UPSREG,2026,0.0
RE1,SO_UPSREG,2027,0.0
RE1,SO_UPSREG,2028,0.0
RE1,SO_UPSREG,2029,0.0
RE1,SO_UPSREG,2030,0.0
RE1,SO_UPSREG,2031,0.0
RE1,SO_UPSREG,2032,0.0
RE1,SO_UPSREG,2033,0.0
RE1,SO_UPSREG,2034,0.0
RE1,SO_UPSREG,2035,0.0
RE1,SO_UPSREG,2036,0.0
RE1,SO_UPSREG,2037,0.0
RE1,SO_UPSREG,2038,0.0
RE1,SO_UPSREG,2039,0.0
RE1,SO_UPSREG,2040,0.0
RE1,SO_UPSREG,2041,0.0
RE1,SO_UPSREG,2042,0.0
RE1,SO_UPSREG,2043,0.0
RE1,SO_UPSREG,2044,0.0
RE1,SO_UPSREG,2045,0.0
RE1,SO_UPSREG,2046,0.0
RE1,SO_UPSREG,2047,0.0
RE1,SO_UPSREG,2048,0.0
RE1,SO_UPSREG,2049,0.0
RE1,SO_UPSREG,2050,0.0
RE1,SO_UPSREG,2051,0.0
RE1,SO_UPSREG,2052,0.0
RE1,SO_UPSREG,2053,0.0
RE1,SO_UPSREG,2054,0.0
